36457300_375058960422014976 x	Hahahah he was so convinced I was gonna scare him he brought a flashlight..He was expecting to shine it on ... https://t.co/BzK6OJ2a1M
36457300_375049732735127552 x	His face serves as my feeding tray sometimes  :) #jax #dogs #cool https://t.co/fYOacvr3sz
36457300_374973970053083136 x	CAN YOU MAKE A #musicequations ?? #music #cool #gaga #math ..revine if you think is cool https://t.co/RxgvXiNAe3
36457300_374724513361330176 x	Hahah he was so pissed I interrupted his show #keiran #brother #myman #funny #zedd #clarity https://t.co/MmVn7GU4Vh
36457300_374689223150170112 x	That doesn't look a butterfly ava #tattoo #butterfly #penis #littleweiner https://t.co/TIqLwVDpqa
36457300_374683415842660354 x	Haha scared his little bitch ass #funny https://t.co/icfj8lmLhK
36457300_374613869408563200 x	The things people will do for #revines #revine #funny Jessie Searle https://t.co/IUCQ70iXLP
36457300_374021898730209280 x	Apparently tron is on vacation in philyy https://t.co/pm4ulkePCU
36457300_373970030083313664 x	Blew my mind https://t.co/awC3zywIec
36457300_373941181702762496 x	OMG!! is that deadmau5 sister? #edm #molly #madeinamerica https://t.co/JbZ7FQwP92
36457300_373941087574192128 x	The ones that can't handle..love it though#molly #drugs #madeinamerica #philly #loop https://t.co/rNhcaJT3Yf
36457300_373618409206190080 x	Hahah i love this #Jax #dogs #spaz #funny #bestfried https://t.co/giTHN1lToE
36457300_373597853152968704 x	O shit. I don't wanna get old #funny #hemroids #growingup https://t.co/zp2ZA9ur4Q
36457300_373450445794324480 x	@GwendolynAnn717 have fun boo!!
36457300_373157225789153280 x	All but one..we'll get it #Jax #dogtricks #loop #awesome #dogs #bestfriend #vinecrazy #vinecrazy https://t.co/LUfsJludYs
36457300_373088917341614080 x	Your almost guaranteed to never see this 4 things in our lifetime https://t.co/KOMv1kmzNl
36457300_372863965476691968 x	Trying to fit in with the girls..s'gay #funny #vinecrazy #weird #loop https://t.co/Mj46aubITH
36457300_372815532120358913 x	To all those whose child stared at me like some sort of asshole over the years..this is what I really thoug... https://t.co/FgTT5j5F3E
36457300_372797924373463040 x	#bernslife.com and her crew #rollin threw #cmt #awarness #funny #dogs #vinecrazy https://t.co/1nahLIV0YO
36457300_372794584654684161 x	Chillin with a friend when they find out their documentary is gonna premiere in HOLLYWOOD!! Congrats bern b... https://t.co/HI4uznEHQI
36457300_372751097804623873 x	Putting a smile a on strangers face is the best #maillady #funny #Stranger #happy  ? https://t.co/RHKULyfzbe
36457300_372479259480432640 x	Almost fail but still #amazing !!!.. #revine  if you think this is #awesome  #Jax #dogtricks #bong #420 #lo... https://t.co/tddZ61QZOs
36457300_372418319636107266 x	@grogy06 not sure if this is your vine name but u'll be the only twitter name on the vine mobile ?shhhh http://t.co/2sOkLW9PmX
36457300_372413906532466688 x	@Chettopher hahaha NEVER!!..t.rich is a point machine!!
36457300_372167707762114560 x	Why would you do that!! Gwendolyn717 hahah #scared #funny #vinecrazy https://t.co/J8wE0USHKI
36457300_372138505256071169 x	Fuckin with Stephanie while working on the #vinemobile #pussy #hugehelp #thankyou https://t.co/cz1ZZiV7KD
36457300_372095055219412992 x	My mom does this everytime I'm arguing on the phone..I can't win #mom #mother #crazy #petpeeve #funny  #loop https://t.co/OYKBa63xcu
