489851359_327601048074203137 x	I am sure Suzy loves you also @RobAlGhul even though you brought a catchers mitt to the Phillies game today #Violation
489851359_327586107309039616 x	Agree or disagree @SportsChatChuck
489851359_327584525616021504 x	Boomer Sooner #Eagles
489851359_327548283780210688 x	@SportsChatChuck ..Will Tom Gamble talk Howie out of ruining what could be a exciting night ?
489851359_327539382515036160 x	Who are the Eagles going to select tonight?
489851359_326521573286739968 x	Just find the in...@mrozboul @GreatWhiteShemp #thesecretoflife
489851359_325427961404727297 x	NJ awaits the arrival of The Great One @mrozboul #ayeeee
489851359_325411625907650563 x	@KevinCooney ..did you really say suspect? Try Killer
489851359_325387091431284736 x	Frandsen will start tonight @RobAlGhul #showtime
489851359_324272135096918017 x	A shout out to @GreatWhiteShemp @atene17 @am_DAlessandro @daviddipaolo @jeffdmoore10 @JonandSeanShow.
489851359_323127408528068609 x	I miss hearing the golden voice of Harry Kalas..#HK
489851359_322840835748139009 x	RT @TheeBlueMeanie: BEST!.....COMMERCIAL!......EVER!...........EVER!! "Ship My Pants" http://t.co/bPIa12CR53 via @youtube
489851359_322523299345231872 x	Flyers hockey < QVC....@jeffdmoore10
489851359_322172924360536065 x	The most electrifying baseball player sits on the bench for the last 2 games. #bizarre.  @mrozboul
489851359_321773296783867904 x	Young showing some power @RobAlGhul
489851359_321731823279427585 x	Any baseball coach who does not start one of his better players should not be coaching.#ayee
489851359_321430586545799170 x	Frandsen can replace Halladay #panic @RobAlGhul
489851359_321193924372881410 x	Opening day for MTM.@mrozboul . Go Tartans,Just Bring It. #chungbol
489851359_320868236474339328 x	Wrestlemania
489851359_320717426792755200 x	I want to be the first to say that Young has amazing speed !!@RobAlGhul @GreatWhiteShemp
489851359_320716624653078528 x	Young scores the game winning RBI #salt @RobAlGhul @GreatWhiteShemp
489851359_320700628877844481 x	Go Michigan @atene17
489851359_320697533661839360 x	Syracuse vs. Michigan up next, who gets the W. @atene17
489851359_320696943615565824 x	Nice run by Wichita St @atene17
489851359_320695455610716161 x	Who will win @atene17
489851359_320493885547749376 x	Opening day for Little League baseball #Freshdawg
489851359_320318988175421440 x	Only 20 days until the NFL draft
489851359_319639035775692801 x	Happy Birthday @Bernieparent #bestever
489851359_319618981533212672 x	Start Frandsen ?? @RobAlGhul @GreatWhiteShemp .Let me be the first to say he is a bench player.
489851359_318847452595769344 x	Right on !!! Dutch is back @975TheFanatic @GreatWhiteShemp
489851359_317481305589837824 x	@RobAlGhul # rematch
489851359_317471022892863489 x	Welcome to Philadelphia @BenRevere9
489851359_316005158289022976 x	RT @carlygoulianos: If the stations don't want us to be mad about incorrect forecasts, they need to put Sheena Parveen outside braless.
489851359_315914063706214400 x	Wyatt is on fire!! .Go Temple
489851359_315271538842689536 x	@atene17 @am_dalessandro very nice picture Harry
489851359_314932061364445184 x	I unleashed the beast @mrozboul . Tomorrow you will find your groove. #boss
489851359_314845492892819457 x	I'm in @GreatWhiteShemp @RobAlGhul  #StayTrippy
489851359_314546719654309888 x	Lets go to Sheapards tonight @GreatWhiteShemp @atene17 @am_DAlessandro @daviddipaolo @valeriB731 @jeffdmoore10 @JonMarks975 @SeanBrace975
489851359_313075649617219585 x	@tpanotchCSN .A shot to the external occipital protuberance #gorilla
489851359_313038330415706112 x	@SeanBrace975 .it's all in the duct tape #secretweapon
489851359_312951453545279488 x	The Yuengling 10..@JonMarks975 @SeanBrace975 @jeffdmoore10 @atene17 @am_DAlessandro @daviddipaolo @valeriB731 @GreatWhiteShemp
489851359_312939348897173504 x	Cheers !!@JonMarks975 @SeanBrace975 @atene17 @GreatWhiteShemp @JonandSeanShow http://t.co/bn4VQKBBXQ
489851359_312945455048818689 x	@jeffdmoore10 @jonmarks975 @seanbrace975 @atene17 @greatwhiteshemp @jonandseanshow . I have it, and it still lights up..#OhYeah
489851359_312944852365094912 x	@JonandSeanShow  my positive thought is having @JonandSeanShow   on the radio 6 days a week.
489851359_312356000474750976 x	1 week ago #goodtimes @GreatWhiteShemp @atene17 @am_DAlessandro @valeriB731 @daviddipaolo @jeffdmoore10 @JonMarks975 @SeanBrace975
489851359_312010218483630080 x	@atene17 @valerib731 @daviddipaolo .Did someone say reunion party .Sounds good to me
489851359_311997663455371265 x	Lip @GreatWhiteShemp was mentioned on 97.5 today.@atene17 @am_DAlessandro @daviddipaolo @valeriB731
489851359_311602031632728064 x	I am disappointed that I wasn't chosen for Dancing With The Stars. I was getting my groove on in Clearwater.
489851359_311291551928168448 x	Thanks for a great weekend.@jeffdmoore10 @SeanBrace975  http://t.co/LYEMJivkjg
489851359_311291360307187712 x	Thanks for a great weekend.@GreatWhiteShemp @am_DAlessandro @JonMarks975 @atene17  @daviddipaolo @valeriB731 http://t.co/LYEMJivkjg
489851359_310665595014234112 x	RT @JonMarks975: The @yuengling_beer crew http://t.co/rf6ZsSW2Li
489851359_310665009619427328 x	RT @JonMarks975: The girls with The Franks @theknarfdog @greatwhiteshemp http://t.co/idzRxwksKr
489851359_310300419777777664 x	Lost in Clearwater@SeanBrace975 @atene17 #whereisSean
