228835299_378590726470529024 x	Before the home opener don't forget to read @JulieDorenbos blog.  Could be a game changer for some of you ladies! http://t.co/QwbnKFbFt1
228835299_378156144352837632 x	Chillin in my @teamuptop shirt http://t.co/5hHEbtCvMm
228835299_377938636282798080 x	Thinking about all those affected by 9-11. Thank you to all the service men and woman that serve this country everyday. #NeverForget
228835299_377540036088311808 x	@HipHop3_ @bspor3 happy birthday.  Sorry I'm 2 days late !
228835299_377539763089453057 x	@GULFCOASTHONKY @trvee @zakaleeka awesome!!
228835299_377539673343922176 x	@WidenerFB play hard, play smart, play proud !
228835299_377539482167562241 x	@reyoak happy birthday Matty.  Sorry If I'm a little late
228835299_377539337120141312 x	@Phillyfan206 epic.  Give 46 the rock
228835299_377539088469213184 x	?@TheBobarian: .@nfl @JonDorenbos will lead the league in magic tricks #boldpredictions? -- haha
228835299_377539049088876544 x	@coacHHeav thanks.  Good luck this season
228835299_377539004557963264 x	@mlocotos thank you. Pumped to have been a part of it
228835299_377538918503444480 x	RT @WidenerFB: Thank you Widener alums Augie, Tim and Philadelphia eagles @JonDorenbos. Great team night. http://t.co/4QZrZSRMM7
228835299_377538855232344064 x	@matty_boland good times.  Good luck this year
228835299_377538773443416065 x	@Colby_McMaster thanks. Good times.  Goo luck this year
228835299_377538637833191425 x	@Savage_Twitty85 good luck this season
228835299_377538561190658048 x	@ian_groover snappers pull the chicks !!
228835299_377538457109037056 x	?@mike_pacitti50: Shoutout to eagle's long snapper @JonDorenbos for proving not all long snappers are lame... looking at you @ian_groover?
228835299_377319482018267136 x	View looking out the bus.  Love it ! Wk 1  #MondayNightFootball http://t.co/MJfCmCN8Tk
228835299_376768963948318720 x	RT @Eagles: In photos: #Eagles @JonDorenbos @EvanMathis69 @ConnorBarwin98 @Jkelce take over Rittenhouse Square. http://t.co/iGL6WBzKn0
228835299_376768832880508928 x	@GavinCoffin yep yep. Pumped. Monday night football.  How you feeling ?
228835299_374997090331811840 x	Excited to take my magic show act from the #Eagles locker room to a local school! Support @EaglesRadiothon! http://t.co/8WJ58upnfE
228835299_376768722528391168 x	@themerchan thanks
228835299_376768617398149120 x	RT @hashonomy_gus: 2013 Eagles Radiothon http://t.co/Bw6UH5xjRI #eagles (via @JonDorenbos)
228835299_376768578646970368 x	@GED_R_done7 agreed. Rock the 46
228835299_376767800733597696 x	RT @jadelupe: 6 hours from my fantasy draft... All in for @RGIII as my QB... Still taking @JonDorenbos in the 2nd Rd. #LongSnapper #Fantasy?
228835299_376767791489351680 x	@jadelupe @rgiii love it
228835299_376767411405733888 x	@azinasili thanks
228835299_376766244403576832 x	DC bound.  A Henery jacked!  Crushing "candies" like they're going out of style http://t.co/jR9QYmBJBy
228835299_372427515509620737 x	If I wore Donnie Jones helmet... I would braked face! Old school.  Almost a single bar. http://t.co/3iydS8Ea2o
228835299_375609078711861248 x	@KyleLStelter agreed
228835299_371279238529552384 x	RT @MensHumor: The NFL season is almost here. While you wait, here are the hottest NFL player wives and girlfriends http://t.co/DyXcUOODFo ?
228835299_371277790991364096 x	Check out @JulieDorenbos blog about summer myths.  Great piece! Who knew!? http://t.co/SXG82IFngt
228835299_371276865132298240 x	RT @JulieDorenbos: Fitness shoot w/ @susiecelek for @AHWCharity  Did you know that... "Heart Attacks are the #1 killer of? http://t.co/9llV?
228835299_371082476615385089 x	@That_Buhl_Q thanks. You the man!
228835299_371082325742084097 x	@King_UVA good times.  Glad you enjoyed!!
228835299_365638733971722240 x	Check out @juliedorenbos blog. Awesome.  Good stuff   http://t.co/dkJlsIsvW9
228835299_365638458309476352 x	RT @JulieDorenbos: ?@phillydotcom: Traveling this summer? Here are some TSA-approved beauty tips from @JulieDorenbos http://t.co/L8lrEFqv0C?
228835299_364921582453399552 x	?@rayphilipp50: @JonDorenbos snapping today. He's really good, Im gonna work hard 2 get my snaps like his http://t.co/46ivoRf84z? ?? thanks
228835299_364921244548079616 x	RT @PhillyDave75: @JonDorenbos Not a great shot, but one of you taking a selfie with a soldier. #EaglesCamp13  #dorenbosforpresident http:/?
228835299_364469440823701504 x	@JonCondo my man! Congrats
228835299_364469133691592704 x	@petrole02 thanks.  Almost game time !!
228835299_364469057120370688 x	@ITzzz_Ian thanks.  Just trying to make it
228835299_364468984110149632 x	@PhillyDave75 we thank all soldiers for all they do !!
228835299_364039501930573824 x	RT @BallSowHard: @JonDorenbos If u retweeted this i'd be a happy man
228835299_363024687817060352 x	RT @CarlFerro1: @SummitSportsG @tlong89 @eagles way to go Travis!!! @sunfare will be waiting for you in the offseason.  Look up @JonDorenbo?
228835299_363024627540303873 x	@RebeccaArminta thanks
228835299_363024110991179776 x	RT @BrianDawkins: Thanks to @EASPORTS for selecting your boi to the ALL-Madden 25 team. The HITS just keep on comin jack!!! #CanYouFeelThat
228835299_362052584955052033 x	RT @PassionSorella9: HILARIOUS RT @DjFlowe: .@JonDorenbos here it is Jon Dorenbos Video-bomb  http://t.co/n9QpUwBPRo  #Eagles @6abc
228835299_361965348175609857 x	@DjFlowe haha. Guilty
228835299_362039178617303040 x	?@PassionSorella9: HILARIOUS RT @DjFlowe: .@JonDorenbos here it is Dorenbos Video-bomb  http://t.co/1RuTWWGRgn  #Eagles @6abc??? haha guilty
228835299_361967271863783426 x	@AndubC856 yep yep
228835299_361581779976585216 x	Welcome to Lake Nova Care http://t.co/Yn9m0Z21b1
228835299_361966697365770241 x	@PhillyzPhan thanks.  The loved it.
228835299_361966617934049282 x	@PaulieB08 thanks. Good times
228835299_361966209459175425 x	@mndTiiu yep. Great day
228835299_361966055381405698 x	@m_kelvy haha. Guilty.
228835299_361965968131489792 x	RT @Eagles: This is how you warm up for #EaglesCamp13. @jondorenbos with some Jr. #Eagles fans: http://t.co/x1q5QO3sjT
228835299_361965907473469440 x	@AntonioRoldGold thanks
228835299_361965865916305408 x	@Caleb_Mezzy good times
