66526219_389614185690046465 x	fantastic weekend with my baby friday. Saturday seen my favorite boys n sunday my niece turned 5 :) #blessed #proudauntie #happy
66526219_389595810540683264 x	RT @BestOfNike: Adrian Peterson is an inspiration.. http://t.co/o3ZEqp10ne
66526219_389528502590275584 x	#MentionPerfection @ddlovato ! No if an buts about it! http://t.co/IGo264JSrE
66526219_389527737633103872 x	#MentionPerfection @ddlovato
66526219_389494191711354880 x	RT @Jolenecal54: If you ever feel like a failure, just know that somewhere in the world, someone just lost their straw inside a Capri Sun.
66526219_389492796652273664 x	@haleylynneparks lol only you girl
66526219_389390472458031104 x	RT @WillFck4GasMula: Who Wants To Be Apart Of This? ?? http://t.co/m8rMTfhfqt
66526219_389111247742177280 x	I really dont like working on this weekend cuz i dont really talk to the girls i work with on this weekend like that.
66526219_388882971605737472 x	I been laying in this bed all night long don't you think it's time to get it on but we gotta get it right. #GETITRIGHT
66526219_388880145995816960 x	One of my patients at work was watching keeping up with the kardashains today and called me in the room to ask me who i like better. Smh lol
66526219_388879080567091200 x	Work was  busy to the max. Gotta love working the a hospital lol not. Back at it again at 3pm ugh
66526219_388720226160103424 x	Work flow in two hours cant wait to see my baby at work today :)
66526219_388714451450748928 x	@cheyyyyyx3 lets go
66526219_388691140775378944 x	Tattoos make someone 1000x sexier.
66526219_388682192429125634 x	If my heart doctor wont hurry up in there im getting nervous n scared
66526219_388680809517162496 x	At my second home. Seeing my heart doctor :(
66526219_388490851728781312 x	@regina_wrong lol good. Make sure you tell him i asked about him. And dont laugh at me. Cant help it that he is hot ;)
66526219_388485597792579585 x	@regina_wrong no problem. how is my main hot guy. (n dont say his name if u rembemer who im talking about)
66526219_388485146955251712 x	That wasn't Rachel tonight... That was Lea ... She broke my heart #RememberingCory
66526219_388484986149425152 x	#RememberingCory  http://t.co/MraSvJTtob
66526219_388484856772308992 x	@regina_wrong thats what i love to hear!!!!! gotta keep that up
66526219_388484508875751424 x	@regina_wrong yeah just alot lol. how is volleyball
66526219_388484179727777793 x	#Glee went beyond acting tonight. We were watching the cast mourn and grieve and pay tribute to a fallen friend.
