32398259_371269692000043008 x	Gm http://t.co/txNJRsNYT8
32398259_371086600979382272 x	I liked a @YouTube video http://t.co/pIoQezQ5iQ Tamar Braxton - All The Way Home (Audio)
32398259_371015800767131648 x	Im about to get my friday started #tgif http://t.co/pW5cSTcuHQ
32398259_370980040697470976 x	Shawty cute ?? #prettygirlshit http://t.co/RrN4Qq35OT
32398259_369884797377974272 x	Chillin with my new bestie http://t.co/k9087x6ITK
32398259_369592939682754560 x	Just posted a photo http://t.co/zLVd76tqmq
32398259_369507256376623104 x	#ijustcantwin ?? http://t.co/YIzujWhN6c
32398259_369129218484867073 x	This me all the time #stubborn http://t.co/rSAu6qtZdq
32398259_369119344497664000 x	#nuffsaid http://t.co/erWPN5HhwO
32398259_368846483514093568 x	On chill ? http://t.co/xrwQTztTmC
32398259_368743126485041152 x	Morning all http://t.co/jCugUf8Hpl
32398259_368151552764440576 x	Mail flow sucks at my apt really be in the fucking way http://t.co/vqSmTarlOQ
32398259_367839757403189248 x	Nite Nite Bitches #nuffsaid http://t.co/oZnsTH2b6n
32398259_367698769053511680 x	#nofilter #prettygirlshit #pictureperfect #ijs ??? http://t.co/Eo8hd6oQpS
32398259_367320566564663297 x	Just posted a photo http://t.co/vjcfIM6M9X
32398259_366738921796796416 x	#munchies http://t.co/tqafa2u7g6
32398259_365115819660812288 x	Gm Omw to therapy? http://t.co/mV0xIBhVtV
32398259_364210407474339840 x	Long day chill time #dueces ? http://t.co/ekHrQo8XCu
32398259_363481062648717313 x	My dad made me dinner ? http://t.co/F0KljFOhtY
32398259_363343246862188546 x	#Therapyflow http://t.co/vQg2AXadeG
32398259_363104164051562496 x	#boredshit #bars i does this shit ??? http://t.co/DqkmGUCFgp
32398259_363060179153473536 x	No no no i wasnt ready #thestruggle #hatecrutches this shit is hard work for my fat? http://t.co/yaVKgyWXYT
32398259_363017954775924736 x	Relaxing ?'s  taking course taking it easy on this rainy day #noworries for now ?? http://t.co/WogjFNy6Ft
32398259_362645781133537283 x	Abt to go in http://t.co/WG7S4Yo02P
32398259_362641714919378944 x	Just posted a photo http://t.co/A1BMoRixfa
32398259_362288037096464384 x	? http://t.co/OXiJQ81l7x
32398259_362042708048609280 x	#nitenite http://t.co/0Uw7B80kmR
32398259_361925624820015105 x	Need a drink to clear my mind http://t.co/1ja6GmjhH2
32398259_361838399738494976 x	Gm yall http://t.co/b8SjQX19wp
32398259_361598993572167682 x	#dontask u already know http://t.co/cMK03x7xuf
32398259_361555031687839745 x	#happy http://t.co/K56c8kzhHe
32398259_361515003842531328 x	Cant wait to get back to work i miss @ImperialSec this laying around just isnt getting it ? http://t.co/Sj49HdkU3Q
32398259_361506130435911680 x	Mr pop up every couple weeks darknessfalls89 http://t.co/SsddIlohKo
32398259_361496344529080321 x	My mommy @blessed2blessed on her way to church http://t.co/jRhnwh4Jce
32398259_361478426776973312 x	Ole happy day #dontask http://t.co/1Tm0X7Zmkx
32398259_361462205625024512 x	Gm yall missing these fools yasirahmommy coolman22jr @Lovernfriend22 @latashaburton  marshall ros? http://t.co/bF0SuK0ga4
32398259_361277390351118336 x	I need a recharge ?? http://t.co/bQiHwshgF1
32398259_361183285025579008 x	Sitting here watching goodtimes...ctfu http://t.co/tRkSMRdP8b
32398259_361164344320466944 x	#lunchtime http://t.co/xpEdAXPBbz
32398259_361159209754165251 x	Feeling good feeling great ?? http://t.co/G8ltSOxrUL
