17224281_384779438338359296 x	I guess I'm around here somewhere... #ATL http://t.co/R35mMpHpYK
17224281_384729407874924545 x	This is what the window view looks like from the back of the train.... #WeWork http://t.co/dm0lSI8IHp
17224281_384645215770124288 x	Good morning....Draw near  to God and He will draw near to you.James 4:7-8
17224281_384450089902546944 x	Two Hollywood Actors Get Stopped, But Not For An Autograph. http://t.co/WK0rJulnHV #ireport
17224281_383975624819630080 x	Sat. Morning freshness... Thankful... http://t.co/1lu6Xt1ldf
17224281_383778671208976384 x	RT @dozi1: S/O to @CarvinHaggins and @doxortho for being an inspiration for my son. He's excited to go to Temple thanks to today's presenta?
17224281_383778547187589120 x	@this_kidd_dayy research the people who's doing what you want to do...
17224281_383681729695076352 x	Look at GOD again.... CGH Photography just made Temple Today... The tags wrong but that's ok... http://t.co/PfFRIjrIac
17224281_383632313294524416 x	CGH Photography has made it in ELLE magazine.... Look at GOD... http://t.co/q8dnCvRFxI
17224281_383568904636751872 x	Good morning... The Lord is good, a refuge in times of trouble. He cares for those who trust in Him.Nahum 1:7
17224281_383335586775330816 x	RT @IRockDopeMusic: #Tbt CDHU!!! @msbriamarie and @CarvinHaggins on the set of the Bye Boy video shoot . #IRockDopeMusic http://t.co/OTlIQx?
17224281_383335399549984768 x	RT @UYRS: @carvinhaggins workshop at #senatorwashingtontechsymposium http://t.co/6l4Iw7FanZ
17224281_383335378423271424 x	RT @this_kidd_dayy: Just Left @CarvinHaggins Presentation , Im Just Going To Stick To Music && Engineering !! Im Getting Up There ?
17224281_383335314736967680 x	RT @this_kidd_dayy: @CarvinHaggins Made Me Realize What I Want To Do When I Get To College Because Of His Presentation !! Thanks !!
17224281_383205519684825088 x	RT @MarcusBaylor: What up @CarvinHaggins Checkout "Stronger" we wrote&produced along with @bwilliamsmusic_ Click the Sound Cloud link! http?
17224281_383205320312766464 x	Good morning...Blessed are they which do hunger and thirst after righteousness: for they shall be filled.Matthew 5:6 KJV
17224281_383013496884953088 x	It's a great word going on right now... check it out... Temptations Southern Baptist Church http://t.co/9yDn8vFUTi
17224281_382952162600316928 x	@misslynette Shouldn't that be a family all in deal... lol...
17224281_382951360766816256 x	RT @mandyland416: @ArtistsUnited @CarvinHaggins http://t.co/gThHW3qZrL
17224281_382951261110140929 x	@kehlani_ @MsBriaMarie Miss U 2... so when will u be back??????? lol... oh.. week after next cool...
17224281_382843261905141761 x	the things which God hath prepared for them that love him.1 Corinthians 2:9
17224281_382843237657886720 x	Good morning.... But as it is written, Eye hath not seen, nor ear heard, neither have entered into the heart of man,
17224281_382667958939832321 x	RT @CORYTAYLORVA: Excited about this project I'm working on with @CarvinHaggins & @doxortho!! Long time coming!! RnB is here to stay!! Via ?
17224281_382606032364912640 x	GOD will give you the information for the conversation.... #CGHThought http://t.co/OeLVtNP70H
