58003762_392062062886912001 x	RT @foodsyoucaneat: Grilled broccoli salad, apple, celery, cole slaw dressing #new #menu at @SPTapRoom http://t.co/ryZoWV5ops
58003762_392061972063453184 x	RT @foodsyoucaneat: Grilled flatbread, local tomatoes, soy bean sprouts, black garlic, Thai basil #new #menu at @SPTapRoom? http://t.co/f0s?
58003762_392061905705402368 x	RT @foodsyoucaneat: Country pate, marinated cucumber, beer mustard on marbled rye #new #menu at @SPTapRoom http://t.co/lodMWT2Zfh
58003762_392058035570761728 x	here come the regulars
58003762_392057980134641665 x	new drafts! allagash confluence/russian river supplication/nodding head lava/founders mango magnifico/de proef wild ale + many more
58003762_392057470551883776 x	RT @foodsyoucaneat: Fried local shishito peppers, togarashi #new #menu at @SPTapRoom #vegan http://t.co/FK0Hx2j5au
58003762_392057470035972096 x	RT @foodsyoucaneat: Seitan & sweet pepper cheesesteak #new #menu at @SPTapRoom http://t.co/ieUcd8DJFP
58003762_392057428034224129 x	RT @foodsyoucaneat: Cured dry-aged beef fat, ginger ale radish, toast #new #menu at @SPTapRoom http://t.co/QdeG6ijLEJ
58003762_392034038619598848 x	RT @PhillyTapFinder: Russian River, Founders & more. Anniversary celebration at @SPTapRoom continues tonight w/ extreme beers: http://t.co/?
58003762_392016459616251904 x	RT @pizzacamp: The new ketchup @SPTapRoom  is amazing.  Rubbing it on my tits right now.  Thanks! @foodsyoucaneat !
58003762_391684722197561344 x	RT @foodsyoucaneat: And finally, The Super Big Mark  at the @SPTapRoom tonight #anniversaryburgers http://t.co/3bGSTDpngR
58003762_391684689108692992 x	RT @foodsyoucaneat: The Big Mark  at the @SPTapRoom tonight #anniversaryburgers http://t.co/b1PllNOPSg
58003762_391684650965696512 x	RT @foodsyoucaneat: New York Mexican Cheeseburger  at the @SPTapRoom tonight #anniversaryburgers http://t.co/ly6C6wGQfn
58003762_391684609437892608 x	RT @foodsyoucaneat: Scott's first cheeseburger  at the @SPTapRoom tonight #anniversaryburgers #bacon #beermustard http://t.co/JVTcEdidD8
58003762_391684571517161472 x	RT @foodsyoucaneat: The original SPTR cheeseburger at the @SPTapRoom tonight #anniversaryburgers http://t.co/epohB3xlMu
58003762_391684472078602240 x	Tonight's burger menu!!!! http://t.co/0sSkEoP9Oc
58003762_391684298950340608 x	Tonight's draught list is amazing! http://t.co/PK1xfJsMg2
58003762_391659290966392832 x	RT @OriglioBev: Don't miss out the big anniversary festivities this weekend @SPTapRoom: https://t.co/mMpy56TBBy #southphilly #phillybeer
58003762_391655919643537408 x	RT @PhillyBeerScene: 10 Year Anniversary weekend continues tonight at @SPTapRoom with an IPA tap takeover and a special burger menu
58003762_391647058169720832 x	RT @foodsyoucaneat: Remember when @pizzacamp worked at @SPTapRoom (from last night's draught list) http://t.co/6tcux1xN4G
58003762_391646858608926720 x	RT @PhillyTapFinder: You want some IPAs? 10-yr anniv. celebration at @SPTapRoom w/ this lineup (incl amazing wet-hopped brew): http://t.co/?
58003762_391454709187239936 x	RT @PhillyBrewing: @SPTapRoom 10th Anniversary Extravaganza begins tonight! Special Jack Daniel's barrel aged Kilty Pleasure will be in att?
58003762_391357121876746240 x	RT @m_regan: Getting ready for Quizzo. Come see me at @SPTapRoom at 9, brother. http://t.co/vrRIv7siWf
58003762_391311201667674112 x	old school drafts tonight: stella artois/leffe blonde/hoegaarden/delirium nocturum/pabst blue ribbon/yuengling lord chesterfield (cask)
58003762_391310563579797504 x	specials circa 2003-2008 tonight! plantain nachos/vegan lion tostadas/cheesesteak quesadilla/fried calimari/cheeseburger/newbold spuds
58003762_391297377287823360 x	RT @phillymag: South Philadelphia Taproom Turns Ten - http://t.co/NL65ls44XE @SPTapRoom @foodsyoucaneat
58003762_391263089368526848 x	RT @foobooz: Celebrate the past, present and future as @SPTapRoom turns ten this weekend. http://t.co/rciQUxu4Iz
58003762_391242313093357568 x	RT @PhillyBeerScene: Congrats to @SPTapRoom on their 10 year anniversary. Celebrate all weekend with them starting tonight https://t.co/2R0?
58003762_391242152959016960 x	RT @PhillydotcomENT: The @SPTapRoom celebrates a decade in the beer business with 72 hours of anniversary festivities! http://t.co/oSoyx0NG?
58003762_390972226507636736 x	Tonight's specials! http://t.co/1kHow68lJX
58003762_390924548872601600 x	RT @NewboldBrew: Today's #newbeers! #jollypumpkin #greatdivide #mikkeller #wolavers #ottercreek #yards #brooklyn? http://t.co/DqtexfEYYK
58003762_390880281831698432 x	this sunday! new menu debuts at 5, rare drafts from founders/allagash/russian river/nodding head/green flash/southern tier & more all day
58003762_390594144043040769 x	RT @PhillyToDo: Just had an award winning burger at the @SPTapRoom .... Delicious! Thx guys! http://t.co/JsneWifhTB
58003762_390563459739693057 x	RT @PhillyTapFinder: BREAKING! Got my hands on @SPtaproom 10-year anniversary tap lists! http://t.co/2NDiTEHRij You gotta see these. #phill?
58003762_390530962813386752 x	this saturday! 10 years x 10 IPAs, 5 years of @foodsyoucaneat x 5 classic burgers. rare stuff from stone/russian river/allagash & more!
58003762_390529614009081856 x	RT @PassyunkPost: Holy crap! @SPTapRoom Room is celebrating its 10-year anniversary. Man, time flies @foobooz http://t.co/LdJy3DDJRY
58003762_389952198308020224 x	RT @m_regan: RT @m_regan: Hey guys, next Friday I'll be hosting Quizzo at @SPTapRoom at 9PM. Please RT
58003762_389829016917913600 x	friday! the SPTR 10th anniversary party begins... our blast from the past night includes frosty mugs/black & tans/retro draft list & menu
58003762_389828089829916673 x	cisco indie ipa on draft now
58003762_389506973907300352 x	avery brewing ellie's brown ale & new holland the poet on draft now
58003762_389135271453007872 x	one week til our 10th anniversary party weekend! stop by october 18-20 for a blast from the past/present/future! crazy drafts/new menu/fun
58003762_389134853306060801 x	RT @NoddingHeadBrew: So nobody got really buzzed and bought cowboy hats.....TODAY!! @foodsyoucaneat @SPTapRoom
58003762_389134814001266689 x	southern tier pumking & bell's oktoberfest on draft now!
58003762_388841759289393152 x	RT @m_regan: Hey guys, next Friday I'll be hosting Quizzo at @SPTapRoom at 9PM. There will also be drink and food specials. Let's get tropi?
58003762_388790678874247168 x	st. feuillien/green flash belgian coast on draft now
58003762_388790504647036928 x	new specials! mixed mushroom soup & fish tacos a la plancha
58003762_388410620825321472 x	new specials! grilled all natural short rib/wheatberry salad/orzo pasta salad/local brussels sprouts/tatamagouche oysters (ns)
58003762_386959450869092352 x	our new menu debuts 2 weeks from today! join the SPTR 10th anniversary party fun the weekend of oct 18-20. #SPTR10
58003762_386958925943570432 x	seef bier on draft now
58003762_386602485278072832 x	new! weihenstephaner oktoberfest & harpoon saison various
58003762_386602172341051392 x	2 weeks away! celebrate 10 years of SPTR & 5 years of @foodsyoucaneat with 10 killer IPAs & 5 legendary burgers with us on october 19th.
58003762_386243608749555712 x	2 weeks til our 10th anniversary party! fri, oct 18 is SPTR throwback night- circa 2003 draft list & ghosts of menus past! SPTR quizzo too!
58003762_386242055892402176 x	new specials! north carolina style bbq'd chicken/grilled pocono trout/black bean & vegetable chili (vegetarian)
58003762_385906886794809344 x	everyone have fun at the #garcesgala tonight! send some love to @foodsyoucaneat & @m_regan for us...
58003762_385787191961858049 x	new: unibroue cherry ephemere/lagunitas maximus/lefthand milk stout/weyerbacher autumnfest/founders all day ipa
58003762_385517792881283072 x	RT @m_regan: Grilled pocono trout, roasted local cauliflower and romanesco, raisin agrodolce on special at @SPTapRoom http://t.co/eQ7BUgqjH4
58003762_385157302334279680 x	Black bean and vegetable chili on special tonight! http://t.co/PfyOeQOcul
58003762_385141403074166785 x	allagash fluxus '13 on draft now
58003762_383707179867713536 x	RT @m_regan: Fresh albacore tuna salad sandwich, local honeycrisp apple, red onion, arugula, wheat toast special at @SPTapRoom http://t.co/?
58003762_383707153133223936 x	RT @m_regan: Country Time pork p?t?, peach mustard, rye toast special snack at @SPTapRoom http://t.co/TgOr6hOy6Q
58003762_383704754448519168 x	RT @ShangysSatten: Free sampling at @NewboldBrew tonight 5-7pm w/@SauconyCreek owner/brewer/former X-games competitor Matt Lindenmuth. Mapl?
58003762_383300424696340480 x	we're turning 10! come celebrate with us october 18-20th: 3 whole days of fun with plenty of surprises in store... #SPTR10
58003762_383299003536121857 x	lancaster country cream ale on draft now
