55725357_397546817618845696 x	RT @MLBTheShow: Here is your first look at #MLB14TheShow - available this spring for PS4, PS3 and PS Vita. http://t.co/ZTFxPeFYSW
55725357_397544251086483456 x	RT @Steve_OS: Miguel Cabrera @MiguelCabrera is the cover athlete for MLB 14 The Show. http://t.co/JNq15M7GoR
55725357_397544222502293505 x	RT @DodgersNation: Miguel Cabrera will be on the cover of MLB The Show 2014.
55725357_397544013579841536 x	Miguel Cabrera Wins MLB 14 The Show Cover! #MLBTheShow14
55725357_397543796180647936 x	Going to be sick! #MLBTheShow14
55725357_397533366481715200 x	RT @MLBNetwork: Congratulations to the @Dodgers' @ClaytonKersh22 on winning the NL Outstanding Pitcher Award! #PlayersChoiceAwards http://t?
55725357_397532994849615872 x	RT @DodgersNation: The winner of the 2013 NL Players Choice for Outstanding Pitcher: Clayton Kershaw.http://t.co/ArVqBDXedK
55725357_397531027540676608 x	RT @DodgersNation: Jose Fernandez is the Players Choice for NL Rookie of the Year.
55725357_397530922506932224 x	I knew it
55725357_397504659775963136 x	@TypicalGamer thnx pimp
55725357_397469502444564480 x	MLB The Show 14 is going to be amazing.
55725357_397459169126526976 x	Omg!!!
55725357_397459115305209856 x	RT @MLBTheShow: Tonight the wait is over: 1st cover selected by players & 1st look @ MLB The Show on PS4. Watch @MLBNetwork @ 8PM EST #Play?
55725357_397453093572325376 x	Going to Hokkaido's! #Sushi4Days
55725357_397439181250494464 x	@EASPORTSUFC @JonnyBones Jones & Pettis
55725357_397247603668037632 x	@ChiefGusBus what happend? Haha
55725357_397229775397203968 x	@Slapshot82 wanna gameshare?
