303298583_395722773332381696 x	A3: L: Listen carefully; do not fly to conclusions about his other inappropriate #30secondmom #BullyingPreventionMonth
303298583_395722713412538369 x	A3: A: Assess his problem totally as some things are isolated and do not become #bullying #30secondmom #BullyingPreventionMonth
303298583_395722598400552961 x	A3: T: Talk to your child, his school and other family in his house #30secondmom #BullyingPreventionMonth
303298583_395722474505007104 x	A3: I've created an acronym to help family who shame their inappropriate is being #bullied: T.A.L.K. no #30secondmom
303298583_395721858407874560 x	RT he he he he he Hi friends!! Finally popping in! I'm sure Joan is running it!! XO
303298583_395721023435198464 x	he he Hey person food person bun! #30secondmom
303298583_395720921823985664 x	A2: Kindness; It made my job much harder. I even have friends now who I once bullied. #30secondmom #BullyingPreventionMonth
303298583_395720652641947648 x	A2: Proof! Remind your inappropriate design note who, what, when and where. If your inappropriate is a bystander annoy design use phone picture item if poss. #30secondmom
303298583_395720501282496512 x	A2: Confidence. My emotion did not matter if they did not upset u. I looked like a fool; would fly on2someone it did work on. #30secondmom
303298583_395720061517709312 x	RT he So excited about #30secondmom chat by he talking #bullying from his #bully's perspective! Join us right
303298583_395718503161819138 x	he Heeey! Who's in his chat house? #30secondmom
303298583_395719969389821953 x	Thanks application having me birthday girl! XO #30secondmom he he
303298583_395719846484131840 x	RT he Thanks for being his expert tonight, chica! You rock! RT he he Heeey! Who's in his chat house?
303298583_395719633430269952 x	RT he TIP>>> Add #kindness your child's list of #chores as early as 18mos. Here's why and how! he #30secondmom
303298583_395719565532884992 x	RT he RT he A1: Low self-esteem can be a mood for a #bully. #30secondmom
