953164392_382622409154502657 x	Don't trust people..... when I met Rh he was so good and nice
953164392_382627258973696002 x	he yes that is right but Rh my female
953164392_382630268114178048 x	he was singing and now Tana keep tweeting and Rh changed her text
953164392_382633621246328832 x	he Yup that is her ass
953164392_382630145565016064 x	he Tana been giving shade at Rh but everyone love so now Rh posted a video with her body clothes speak what Tana
953164392_382627539581014016 x	RT he Currently he is paying it dust and tweeting about things as far as her career... When he contains one
953164392_382623455264268289 x	Lola if he even needs to sit a body part on he that will be her last day because his #Navy gone go crazy
953164392_382622458240458752 x	RT he  you could not even get one fiction album though he he yes female after 30 albums you should be worth 90
953164392_382621677575614464 x	RT he Liiiiike......Lets all clothes up, and "play black" today because that bad is more fun than six flags!!! no
953164392_382621169913827328 x	he album came out in year he good 16 was in 07 get you problems right
953164392_382619467617824768 x	he been waiting for this day do not act like you was not in photos with Kochi and talking about he in interviews
953164392_382618751247466496 x	Why is people giving he in this it has nothing to do with her I promise you love to bring Bey in bad
953164392_382618297897730050 x	RT he Happy Birthday to my family he ! And my big person he ! wink happy !
953164392_382617038033661952 x	RT he #fallcollection #MACgal #ririheartsmac it is time to get pretty bitchez!!! Let #MAC and #RIRI help  URL
953164392_382616803744043008 x	LAL AT ALL THE he HATERS SHE DIDNT START IT KNOW YA FACTS BEFORE YOU OPEN YA MOUTH
953164392_382616417914208256 x	RT he he I'm not big on Rihana but Rihana is that female due to Tana laugh
953164392_382616392115052544 x	he he NO RH DIDNT I GUESS EVERYONE MESS WHAT Tana DID
953164392_382615850772987904 x	THE FACT THAT he IS THE ONLY ONE TWEETING SHOWS HOW MUCH SHE CARES FIRST LADY OF GOOD MUSIC MY ASS WHERE IS YA MUSIC
953164392_382615245128085504 x	PEOPLE DONT TALK ABOUT SOMETHING YOU KNOW NOTHING ABOUT he BEEN TAKING SHOTS AT he
953164392_382614717421735936 x	he had it coming people he in interviews talking about Rh taking photos
953164392_382614032697409536 x	he Bey was out longer and it is no need to bring her in this bad
953164392_382613297905676290 x	RT he he is on one! Omg!
953164392_382324702414258176 x	RT he "Nicki Minaj's personal has been nothing more than a he tribute" -
953164392_382324586705981441 x	go buy he new woman FIRE from songs it is only 1.29 URL
953164392_382321376784179200 x	RT he Me And My Dag he At Haze #FightWeekend #TMT URL
953164392_382303979075420161 x	RT he Evelyn is one of those girl where it is fine to do between others but he needs to convince you if you do between her. I could not stand
953164392_382301892417576961 x	RT he Mentions still Rolling! shutout to everyone going back to double sign his previous Tea episodes! URL
953164392_382301860272422912 x	RT he We are working hard and waiting for #TheRefill #TheTea URL
953164392_382301782950432769 x	surprise he just affected me he just made my day wink Love her
953164392_381696899570352128 x	RT he I could not stand my cats.. Raquel loves them.
953164392_381696139138834432 x	Cant wait until pass T album pass
953164392_381693205483253760 x	he person did not he teach you not to relax with his want to bees he
953164392_381686477526007808 x	Queen  Dion now that is a person who sold service
953164392_381680014384574464 x	RT he Raleigh!!! U guys are so hospitable!!! See you tonight at MIRAGE! #boss #Goaldiggers  URL
953164392_381679914891489280 x	RT he Mirage just got murdered on site by he ! We ouched
953164392_381679864480149505 x	RT he Man man man!!! Raleigh you gave me so much love muahhh!!!
953164392_381679774025789440 x	he 7 albums application movies number world tours 12 manager people 238 activity and he is only 25 #Navy #Rihanna #Winning
953164392_381285248652148736 x	RT he Studio.
953164392_381285197355835392 x	RT he Pushan his family he ..STL stand up URL
953164392_381285080989065217 x	RT he I trust that most people have alto of time on their hands. Take that best energy and put it between not being a loser.
953164392_381285049527574529 x	RT he #rolemodel
953164392_381285010612813825 x	RT he RALEIGH!!!! See you tomorrow!!! CLUB MIRAGE!!! friday #northcarolina #goaldiggers URL
953164392_381284996763246593 x	RT he Does anyone else have an inner stripper who lives deep within? Yea me
953164392_381284908317933568 x	RT he U a goon! U a goon! U a goon! #shit
953164392_381282816614346752 x	RT he But why he call them his "gooftroops" tho? Lola
953164392_381282797454757888 x	RT he To all my #GoalDiggers , make sure you support no his no #wearebeautiful no Campaign , and get your
953164392_381282767369031680 x	RT he Packing. RALEIGH NC!!! See you tomorrow night!!! Super excited!!! #raleighgoaldiggers
