40113278_373652465301737472 x	It's a bird, it is a plane, no it is a bomb! A appeal bomb fell from a location jet into a parking lot. #wboc URL
40113278_373647906911158272 x	he Great job!! #WBOCFinalScore
40113278_373647227517808640 x	Love his clothes he #WBOCFinalScore
40113278_373499468408029184 x	Oh no! Our item battery just DIED!! Gasp! no We were almost back to his bureau too. URL
40113278_373273404151185408 x	Wow he I'm angry by his 50-yard TD run!
40113278_373226002496765952 x	Is it that time again? #sweepsideasdue #tvnews
40113278_373168753350959104 x	"You only have one life. Treat it his rank way you can." - Rick Evans says to me after seeing out his family died in a house fire. #wboc
40113278_373136652236894208 x	The Delaware State Fire Marshal's location is learning one person died in a fire in a Hartly home. #wboc URL
40113278_372915974980534272 x	RT he Today, his Golf Channel angry MLC in it is own strange way: URL
40113278_372773735792910336 x	A man at his #Delaware #DMV says to my photog: 'Is this when I get to hit his cameraman on his body part with my cane.' He chuckles. #blankstare
40113278_372772889583304704 x	I met Reuben Salters he for his order anniversary MLC ceremony. He met Dr.King. no #marchonwashington. URL
40113278_372726362068357120 x	he can you meet me in Middletown today? What's your sked? If not I can Skye you. unbox me your #.
40113278_372563579679277056 x	he he he man Woop!!
40113278_372562880488833025 x	Downed wires on his Outer Loop of 695? #crazy URL
40113278_372506811762368512 x	#TNT #Leukemia and #Lymphoma fundraising event is about to cut off at he in #Salisbury Sept. 4! #Bmorehalf URL
40113278_372487681885745153 x	he came during your tweet to his DMV. Wanted to chat with you about it tomorrow. Let me know.
40113278_372140352322293760 x	Hand hurts at his gas pump. I wish this was at every gas station. URL
40113278_372133900975628290 x	Having a mosquito kiss you on his body part is #nofun right before a live shot.
40113278_371972989174431744 x	Run No.2 on my project to road for his #Baltimore amount #marathon #morningrun #workitout hashtag #fitness URL
40113278_371352800175079425 x	Somebody did not get his memo about giving food and drinks away. #badponies #Assateague URL
40113278_371291653530591232 x	Awesome welcome message at #Assateague National Park. #wildhorses URL
40113278_371085925268594688 x	RT he Special delivery! A person fiction born at his National Zoo. Details on #wjz he URL
40113278_370379259258601472 x	RT he RT he Law and Order: Special Victims Unit to use darvon Martin case in upcoming episo...  and Order: Special.
40113278_370207587959992320 x	Have you seen this guy? Police in #Cambridge, Md. admit he stabbed his computer family numerous times. #wboc URL
40113278_369576814802632704 x	Yummy goodness. #snacktime #berries #fruit hashtag URL
40113278_369095981041602560 x	Hahaha That's one way to keep an eye on your #kids. #caffeine #puppy #Smyrna Coffee Shop URL
40113278_368816136004964352 x	order time in 12 years that his nationality #USA 400M relay team belong in 2nd. #Russia reveals it is order victory since 2005.
